,swiss_bonds,swiss_bonds_1_5,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,real_estate,world_bonds,world_bonds_1_5,gold,commodities,infrastructure,convertibles,managed_futures,high_yield,high_yield_unhedged,em_debt,em_debt_unhedged,cash
2008-01-31,,,,,,,,,,,,,,,,,,,,,
2008-02-29,-0.0009948269001192056,0.0006935499851381532,-0.007319326679691707,-0.009952650395335882,0.02505658500186536,-0.07348380916972275,-0.060827857281063547,-0.000235150013735419,0.0287131689717377,0.002331791313484155,0.002331791313484155,0.014809349333717137,0.07185748483043164,-0.04543362276117957,,0.010906352836760558,-0.018901769888198916,-0.05365260242116332,,-0.039546326466402104,0.002291666666666581
2008-03-31,-0.0054769966142202975,-0.00435643564356436,-0.03669357119195915,-0.04041670624360982,-0.03295124768273627,-0.06281310033949739,-0.06327885330148941,-0.10360647827274705,0.00048711578742266504,-0.0008625510731088415,-0.0008625510731087305,-0.10301447231444893,-0.05449135653948456,-0.060580895097116505,,-0.05247421226989191,0.009877120358166236,-0.03674109383643209,0.0013477312956908793,-0.044880105076068766,0.002291666666666581
2008-04-30,-0.0026033843997196326,-0.0002983293556084732,0.05589393220128591,0.06840352556468754,0.04628849010397884,0.1147436002821971,0.10154089856725435,0.14458252226044,0.009932323871659099,-0.006108065659411799,-0.006108065659411799,-0.0025580163146000645,0.10356892035998677,0.08579201179601958,,0.04514318503273684,0.034593874491783305,0.07607618964099783,0.012241450991127056,0.052813486765487916,0.002291666666666581
2008-05-31,-0.001305089850416552,9.947279419075805e-05,0.006176644404481291,-0.004922769212445166,0.028590476555905076,0.0003506570087041805,0.0201305035939221,0.003428290040334403,0.013980619968182006,-0.009696174231087928,-0.009696174231087817,0.017130865212492408,0.07744127300050563,0.02992177860546108,,0.028422953527561967,-0.004459474108929995,0.002701853098033835,0.0016707145140977264,0.008880017306140742,0.002291666666666581
2008-06-30,-0.0058303176517893185,-0.00417744181420332,-0.07547729870720432,-0.08976680731924669,-0.08535510615181607,-0.07481185451316674,-0.07579606195828437,-0.09498755806333836,-0.0029002044406409855,-0.0032675879514101336,-0.0032675879514101336,0.02302492031417902,0.08091892365448317,-0.0894100721216885,,-0.029298641675551074,-0.036121826473996754,-0.057155097929427634,-0.019187088338206704,-0.04057915303969206,0.002291666666666581
2008-07-31,0.016683518705763234,0.011186576108669577,0.018608082629723688,0.00835620446349905,-0.03158774827684674,0.052151082870127485,0.05910867306555878,0.03863423400252053,-0.007772267785618903,0.007124807674620426,0.007124807674620426,0.011138081421395496,-0.0743953655929449,-0.016899390674065873,,-0.03513072721909405,0.00652655026112714,0.03200965695027991,0.008504197174849404,0.034038633555862674,0.002291666666666581
2008-08-31,0.009547488811536553,0.006716712761754229,0.016313241053704797,0.02106783630291731,0.030875571184906248,0.06182365029525916,0.07601000453617512,-0.008621235498174507,-0.007785092988610631,0.009977378314603103,0.009977378314603103,-0.04901381780630798,-0.020108567709412606,0.003194196970237595,,0.013467200375965271,-0.008351453975376733,0.03898998308164847,0.007777708857807708,0.05589981200185279,0.002291666666666581
2008-09-30,-0.005024135553147513,-0.006083202511773855,-0.0821293415465425,-0.09675053119001864,-0.09440254109620516,-0.07132473825318608,-0.08607032019850591,-0.13023967379304302,0.011042766503608137,-0.009632073194561053,-0.009632073194561053,0.06264128139698033,-0.08393765434846745,-0.08338225141169842,,0.049597947080077365,-0.1059341617518933,-0.08809151338686583,-0.07082506143629397,-0.0522566990773633,0.002291666666666581
2008-10-31,-0.015544554455445447,-0.011352418558736699,-0.09329376897265051,-0.11103836117597221,-0.19262976851721292,-0.15937504291427962,-0.19745146672075453,-0.24609748256744546,-0.05973652694610776,-0.010230996289977146,-0.010230996289977035,-0.13251789863528152,-0.22501206229914827,-0.15475175446868983,,0.13999883049873607,-0.113250456619987,-0.08400687741074475,-0.19268712258772858,-0.16617907078097305,0.002083333333333437
2008-11-30,0.041033893191189996,0.024862705941088636,-0.05244159885824162,-0.06703828332889494,-0.03817705605028854,0.0254615834502665,0.002870888836842056,0.013618072501786926,0.003668229060525885,0.027686359365301394,0.027686359365301394,0.1775809930184633,-0.08331171275028515,-0.038893821991858424,,0.05263801770365251,-0.07095708947945334,-0.028170605514670766,0.09568510315001277,0.1461461879562158,0.0008333333333330195
2008-12-31,0.004927060187421173,0.010814497272018553,-0.04449939229628341,-0.025050639566878585,-0.019766318831739293,-0.21666884487348226,-0.1953156387859445,-0.18024119299758612,0.017817258883248588,0.02060033210638057,0.020600332106380348,-0.07367257223999668,-0.16820957159944439,-0.04263711524571123,,-0.16109770819282387,0.16797383991850734,0.004001920419317129,0.1773507911125496,0.012064598085047118,0.00041666666666695384
2009-01-31,0.005768121515093316,0.006361445783132247,-0.04200264035362333,-0.04813409293944193,-0.028943527895278764,0.1165259386039541,0.13001995389175325,0.1433930283479279,0.02882649244426716,-0.009929038898549014,-0.009929038898548903,0.1867141658724636,0.07457886453599505,-0.021407056434795235,,0.1252640222915531,-0.009818134363718478,0.11306922012734688,-0.06931900237516453,0.04616283121023046,0.0004166666666667318
2009-02-28,-0.009462817816861091,-0.006800114931519996,-0.10188037625807866,-0.1116658564873596,-0.08321635642355818,-0.09919155683116443,-0.1014766678915946,-0.053786182295294416,-0.001017984390905835,-0.0004652216690916866,-0.00046522166909179763,0.011688005198717155,-0.058871342207965416,-0.12149698955819799,,0.0011861365897996023,-0.09684518341958437,-0.09962135204911116,-0.05574696057719197,-0.05863527769653443,0.0004166666666667318
2009-03-31,0.00028949146000201154,0.0004821600771458545,0.052782244931194544,0.04405017203942263,0.027443996937722703,0.031136619057229087,0.03755413661169493,0.0967737027511717,0.024747670807453215,0.008071361165734148,0.008071361165734148,-0.05087092280148997,0.019188921237820677,0.039663118722050195,,-0.06666930809586658,0.019282482888996588,-0.007589911990334097,0.05129460888698123,0.023584617157410115,0.0003124999999997158
2009-04-30,0.00945398417904686,0.011180722891566353,0.08463630101393416,0.1514754069964228,0.14332226451769658,0.044389836897180235,0.09365313071975301,0.09415610789782103,0.01662089212993667,0.0035203638705476603,0.0035203638705476603,-0.032237365772406656,0.0001401842682065002,0.05921447628662957,,-0.02002519949085313,0.1386684400008833,0.13975958181417858,0.07748218086463643,0.07850348270497465,0.0003124999999997158
